Name,OAID#link#multi,Affiliation#sortquan,City#sortquan,Region#sortquan,Country#sortquan,Latitude#hidden,Longitude#hidden,Collaborators#multi#link#sortquan,Scope#multi#sortquan,Keywords#multi#sortquan,OA concepts#multi#sortquan,Publications#hidden,Publication Dates#multi#sortquan,#img,#netvis,nerPerson#multi,nerPopulation Group#multi,nerFacility#multi,nerOrganization#multi,nerAdministrative Area#multi,nerLocation#multi,nerProduct#multi,nerEvent#multi,nerWork of Art#multi,nerLegal Document#multi,nerLanguage#multi,nerDate#multi
Janko Urbanc,https://openalex.org/A2069694107,Geological Survey Ljubljana,Ljubljana,,Slovenia,46.071095,14.515265,https://openalex.org/A2113117945|https://openalex.org/A1173320144|https://openalex.org/A757730361|https://openalex.org/A2463868171|https://openalex.org/A2473844080,aquifer|transboundary,,Artesian aquifer|Water supply|Hydrogeology|Groundwater|Water Framework Directive|Water quality|Ecology|Geology|Geotechnical engineering|Groundwater recharge|Hydrology (agriculture)|Environmental engineering|Aquifer|Biology|Environmental science|Water resource management,"<a href='#' onClick='javascript:getPublication({oaids:""https://openalex.org/A2069694107"",search:""Keywords,Scope"",OAConcepts:""OA concepts""})'>Show publications</a>",2002,US,42d72cc4accdc4b7055e33dc83c1fa69cfc89e27c973bc9d47e1ba74eda7f4aa,,,,,Ljubljana,,,,,,,
Jannes Kordilla,https://openalex.org/A1755494293,University of GÃ¶ttingen,GÃ¶ttingen,,Germany,51.541,9.937379,https://openalex.org/A4221491967|https://openalex.org/A2999862828|https://openalex.org/A4221491969|https://openalex.org/A4221491968,aquifer|transboundary,,Oceanography|Climate change|Water table|Groundwater|Soil science|Geology|Groundwater flow|Groundwater recharge|Soil water|Geotechnical engineering|Hydrology (agriculture)|Aquifer|Vadose zone|Environmental science,"<a href='#' onClick='javascript:getPublication({oaids:""https://openalex.org/A1755494293"",search:""Keywords,Scope"",OAConcepts:""OA concepts""})'>Show publications</a>",2022,US,4660f3349386a94276451756f9ad5ccebe115aad8a7e04967b3406b9ffd2ac25,,,,Gã¶Ttingen,,,9.937379,,,,,
Japhet Kanoti,https://openalex.org/A2900663972,University of Nairobi,Nairobi,Nairobi,Kenya,-1.279722,36.816666,https://openalex.org/A363944870|https://openalex.org/A2941688656|https://openalex.org/A2948247128|https://openalex.org/A694416679|https://openalex.org/A1155416849,aquifer|transboundary,,Chemistry|Geology|Water quality|Biology|Carbonate|Physical chemistry|Halite|Environmental science|Geomorphology|Groundwater|Geotechnical engineering|Organic chemistry|Water resources|Structural basin|Water resource management|Dissolution|Ecology|Hydrology (agriculture)|Aquifer,"<a href='#' onClick='javascript:getPublication({oaids:""https://openalex.org/A2900663972"",search:""Keywords,Scope"",OAConcepts:""OA concepts""})'>Show publications</a>",2019,US,a388bc5e9b1a5be3071f76f9e9f6c0c496c681ec1b525e1b8585a75779f5daae,,,,,Nairobi,,,,,,,
Jaroslav Vrba,https://openalex.org/A2146077456,Unknown,,,,,,https://openalex.org/A2490537160|https://openalex.org/A842817186,aquifer|transboundary,,Psychotherapist|Geology|Oceanography|Vulnerability index|Environmental science|Computer security|Computer science|Climate change|Psychology|Water table|Groundwater|Geotechnical engineering|Psychological resilience|Vulnerability assessment|Water resource management|Hydrogeology|Vulnerability (computing)|Hydrology (agriculture)|Aquifer|Geography,"<a href='#' onClick='javascript:getPublication({oaids:""https://openalex.org/A2146077456"",search:""Keywords,Scope"",OAConcepts:""OA concepts""})'>Show publications</a>",2007,US,,,,,,,,,,,,,
Jase Brooks,https://openalex.org/A2112560965,University of Idaho,Moscow,Idaho,United States,46.726,-117.011,https://openalex.org/A2524640187|https://openalex.org/A2578960432,aquifer|transboundary,,Agency (philosophy)|Environmental resource management|Sociology|Corporate governance|Politics|Environmental governance|Law|Business|Environmental planning|Economics|Social science|Finance|Collaborative governance|Geography|Political science,"<a href='#' onClick='javascript:getPublication({oaids:""https://openalex.org/A2112560965"",search:""Keywords,Scope"",OAConcepts:""OA concepts""})'>Show publications</a>",2013,US,f7e3a1f4f2d063f3577b88a20bd398f4daef8ae67e6637e216b6e66cc268a3c5,,,,,Moscow,,,,,,,
Jasim Al-Kandari,https://openalex.org/A2950983895,Kuwait Institute for Scientific Research,Kuwait City,,Kuwait,29.337202,47.90633,https://openalex.org/A2789999362|https://openalex.org/A2661957475|https://openalex.org/A2141954679|https://openalex.org/A2470694875,aquifer|transboundary,,Oceanography|Hydrogeology|Drawdown (hydrology)|Groundwater|Sustainable yield|Ecology|Geology|Groundwater flow|Brackish water|Groundwater recharge|Salinity|Hydrology (agriculture)|Geotechnical engineering|Surface runoff|Aquifer|Biology|Environmental science|Water resource management,"<a href='#' onClick='javascript:getPublication({oaids:""https://openalex.org/A2950983895"",search:""Keywords,Scope"",OAConcepts:""OA concepts""})'>Show publications</a>",2021,US,a02d5cdf084e3ce19155e3c6090f2fb95ec1800dd196cbda20273185474f1249,,,,,Kuwait City,,,,,,,
Jasna DeniÄ-JukiÄ,https://openalex.org/A2780355894,Unknown,,,,,,https://openalex.org/A2738131907|https://openalex.org/A1173320144|https://openalex.org/A2702688617|https://openalex.org/A2736427961|https://openalex.org/A2431540055|https://openalex.org/A2152247172|https://openalex.org/A2072700567|https://openalex.org/A3207498335|https://openalex.org/A41508196,aquifer|transboundary,,Spring (device)|Carbonate rock|Geology|Outflow|Oceanography|Groundwater recharge|Geochemistry|Geomorphology|Cartography|Flysch|Clastic rock|Groundwater|Geotechnical engineering|Sedimentary rock|Structural basin|Mechanical engineering|Hydrogeology|Drainage basin|Engineering|Hydrology (agriculture)|Aquifer|Geography,"<a href='#' onClick='javascript:getPublication({oaids:""https://openalex.org/A2780355894"",search:""Keywords,Scope"",OAConcepts:""OA concepts""})'>Show publications</a>",2009,US,45a2eb17983bf2950dd14a9c00fa06a716a3c278554a5ab74d4e5b9236fa28da,,,,,,,,,,,,
Jason J. Gurdak,https://openalex.org/A110090928,San Francisco State University,San Francisco,California,United States,37.7219,-122.47821,https://openalex.org/A2785491534|https://openalex.org/A2630641764|https://openalex.org/A145583819|https://openalex.org/A2307742149|https://openalex.org/A2132432045|https://openalex.org/A2630057314|https://openalex.org/A2895275029|https://openalex.org/A1898801419,aquifer|transboundary,,Oceanography|Groundwater resources|Climate change|Hydrogeology|Water storage|Groundwater|Inlet|Ecology|Geology|Geotechnical engineering|Hydrology (agriculture)|Aquifer|Biology|Environmental science|Water resources|Water resource management,"<a href='#' onClick='javascript:getPublication({oaids:""https://openalex.org/A110090928"",search:""Keywords,Scope"",OAConcepts:""OA concepts""})'>Show publications</a>",2019,US,41b0d08f63b414696fb2f01f66c9b3307d5e19df1da8bb6b192d27cd679dbb8a,,,,,San Francisco,,,,,,,
Jasper Griffioen,https://openalex.org/A1971381580,Utrecht University,Utrecht,Utrecht,Netherlands,52.090164,5.122601,https://openalex.org/A2642134000|https://openalex.org/A2128411432|https://openalex.org/A2505729006|https://openalex.org/A2560031702|https://openalex.org/A2552396391,aquifer|transboundary,,Paleontology|Hydrogeology|Aquifer|Karst|Groundwater|Quantum mechanics|Meteorology|Geology|Groundwater flow|Meteoric water|Groundwater recharge|Precipitation|Hydrology (agriculture)|Geotechnical engineering|Geochemistry|Environmental isotopes|Physics|Stable isotope ratio,"<a href='#' onClick='javascript:getPublication({oaids:""https://openalex.org/A1971381580"",search:""Keywords,Scope"",OAConcepts:""OA concepts""})'>Show publications</a>",2021,US,fdde2c706973264adcbf7ff08e3f5882d36843ed23d27e90ebd88283bd83363d,,,,,Utrecht,,,,,,,
Jauad El Kharraz,https://openalex.org/A2640359030,Euro-Mediterranean Water Information System,Antibes,,France,43.61492,7.054905,,aquifer|transboundary,,Environmental resource management|Programming language|Environmental planning|Business|Scope (computer science)|Ecology|Integrated water resources management|Engineering|Information system|Process management|Geography|Biology|Environmental science|Water resources|Computer science|Electrical engineering,"<a href='#' onClick='javascript:getPublication({oaids:""https://openalex.org/A2640359030"",search:""Keywords,Scope"",OAConcepts:""OA concepts""})'>Show publications</a>",2014,US,,,,,Antibes,,,,,,,,
Javier Heredia,https://openalex.org/A2344976657,Instituto GeolÃ³gico y Minero de EspaÃ±a,Madrid,,Spain,40.44204,-3.69962,https://openalex.org/A2586200336|https://openalex.org/A3015249159|https://openalex.org/A2776063557|https://openalex.org/A2062136337|https://openalex.org/A2707508586|https://openalex.org/A2638937738|https://openalex.org/A2510841100,aquifer|transboundary,,Chemistry|Isotope|Environmental chemistry|Groundwater|Nuclear physics|Stable isotope ratio|Geology|Geotechnical engineering|Hydrology (agriculture)|Geochemistry|Aquifer|Physics|Environmental science,"<a href='#' onClick='javascript:getPublication({oaids:""https://openalex.org/A2344976657"",search:""Keywords,Scope"",OAConcepts:""OA concepts""})'>Show publications</a>",2020,US,dc307ef6101a4d027ce37de015f8ceec9841b924d55d8d5071f53a7f11f4a0fa,,,,,Madrid,,,,,,,
Jayakunar Ramasamy,https://openalex.org/A3110240032,Unknown,,,,,,https://openalex.org/A3108477157|https://openalex.org/A3110092903|https://openalex.org/A3107993997|https://openalex.org/A3108553922|https://openalex.org/A3110275357|https://openalex.org/A3107877310|https://openalex.org/A3110159011,aquifer|transboundary,,Geology|Resource (disambiguation)|Business|Environmental planning|Sustainable development|Mathematical analysis|Environmental science|Computer science|Mathematics|Groundwater|Geotechnical engineering|Computer network|Water resource management|Environmental resource management|Mechanical engineering|Law|Boundary (topology)|Work (physics)|Engineering|Aquifer|Geography|Political science,"<a href='#' onClick='javascript:getPublication({oaids:""https://openalex.org/A3110240032"",search:""Keywords,Scope"",OAConcepts:""OA concepts""})'>Show publications</a>",2013,US,,,,,,,,,,,,,
Jean Margat,https://openalex.org/A2997405188,Unknown,,,,,,https://openalex.org/A2997116576|https://openalex.org/A2998291312|https://openalex.org/A2997528421|https://openalex.org/A2998350882,aquifer|transboundary,,Environmental resource management|Groundwater|Business|Environmental planning|Geology|Geotechnical engineering|Aquifer|Environmental science|Geography|Water resource management,"<a href='#' onClick='javascript:getPublication({oaids:""https://openalex.org/A2997405188"",search:""Keywords,Scope"",OAConcepts:""OA concepts""})'>Show publications</a>",2004,US,,,,,,,,,,,,,
Jean O. Melious,https://openalex.org/A2984585403,Western Washington University,Bellingham,Washington,United States,48.7401,-122.48452,https://openalex.org/A2112720595,aquifer|transboundary,,Microeconomics|Scarcity|Natural resource management|Resource (disambiguation)|Biology|Population growth|Environmental planning|Computer science|Politics|Population|Demography|Groundwater|Geotechnical engineering|Natural resource|Computer network|Water resources|Sociology|Environmental resource management|Water scarcity|Law|Resource management (computing)|Economics|Ecology|Engineering|Aquifer|Geography|Political science,"<a href='#' onClick='javascript:getPublication({oaids:""https://openalex.org/A2984585403"",search:""Keywords,Scope"",OAConcepts:""OA concepts""})'>Show publications</a>",2004,US,b2969ff89149e2c58cfc4335ab711c89cdae23203b8bed612aa5918a25596aec,,,,,,,,,,,,
Jean-Luc Michelot,https://openalex.org/A2674718167,University of Paris-Saclay,Gif-sur-Yvette,,France,48.707855,2.152481,https://openalex.org/A2990836156|https://openalex.org/A1024543567|https://openalex.org/A2942582089|https://openalex.org/A2991474685,aquifer|transboundary,,Sociology|Drilling|Paleontology|Population|Mechanical engineering|Demography|Borehole|Aquifer|Groundwater|Geology|Geotechnical engineering|Engineering|Hydrology (agriculture)|Geochemistry|Sedimentary rock|Environmental science|Geomorphology|Structural basin,"<a href='#' onClick='javascript:getPublication({oaids:""https://openalex.org/A2674718167"",search:""Keywords,Scope"",OAConcepts:""OA concepts""})'>Show publications</a>",2019,US,62c537ee7baef8ab33e808c2f8ad3f309ece888ac7cf1a1e1d310599a760b5de,Gif-Sur-Yvette,,,,,,,,,,,
Jean-Martial Cohard,https://openalex.org/A2144281076,Grenoble Alpes University,Saint-Martin-d'HÃ¨res,,France,45.192116,5.767276,https://openalex.org/A103140844|https://openalex.org/A3042711605|https://openalex.org/A2149368350|https://openalex.org/A2156930119,aquifer|transboundary,,Geology|Environmental engineering|Biology|Archaeology|Environmental science|Context (archaeology)|Population|Groundwater resources|Demography|Groundwater|Geotechnical engineering|Surface water|Water resources|Water resource management|Sociology|Ecology|Hydrology (agriculture)|Aquifer|Geography,"<a href='#' onClick='javascript:getPublication({oaids:""https://openalex.org/A2144281076"",search:""Keywords,Scope"",OAConcepts:""OA concepts""})'>Show publications</a>",2020,US,654904b2bd6bc7fc5d78881873e1f5c0a027c2cf0c6eedf10354d45e9c52bbf8,Saint-Martin-D'Hã¨Res,,,,,,,,,,,
Jeff D. Pepin,https://openalex.org/A3011125823,United States Geological Survey,Reston,Virginia,United States,38.94762,-77.36789,https://openalex.org/A4200859510|https://openalex.org/A2887496741|https://openalex.org/A3174626352|https://openalex.org/A4207961418|https://openalex.org/A2108180601|https://openalex.org/A2048582874|https://openalex.org/A2737392571|https://openalex.org/A4207961419|https://openalex.org/A4207961421|https://openalex.org/A4207961420|https://openalex.org/A4202799090|https://openalex.org/A22294146,aquifer|transboundary,,Geology|Depression-focused recharge|Water quality|Biology|Geophysics|Oceanography|Bedrock|Geothermal gradient|Groundwater flow|Groundwater recharge|Salinity|Alluvium|Environmental science|Geomorphology|Alluvial fan|Groundwater|Soil science|Geotechnical engineering|Structural basin|Water resource management|Hydrogeology|Throughflow|Ecology|Brackish water|Hydrology (agriculture)|Aquifer,"<a href='#' onClick='javascript:getPublication({oaids:""https://openalex.org/A3011125823"",search:""Keywords,Scope"",OAConcepts:""OA concepts""})'>Show publications</a>",2021|2022,US,c1f7f61e3553040d17039a6b4d5a305edb52f7d18446d84d0f0a8ed9ed9f69ae,,,,Reston,,,,,,,,
Jeff Devere,https://openalex.org/A2005338876,Unknown,,,,,,https://openalex.org/A2100511896,aquifer|transboundary,,Metropolitan area|Geology|Biology|Oceanography|Archaeology|Salinity|Environmental science|Population|Demography|Groundwater|Geotechnical engineering|Water resources|Water resource management|Sociology|Hydrogeology|Ecology|Brackish water|Hydrology (agriculture)|Aquifer|Geography,"<a href='#' onClick='javascript:getPublication({oaids:""https://openalex.org/A2005338876"",search:""Keywords,Scope"",OAConcepts:""OA concepts""})'>Show publications</a>",2005,US,9e54bb5042cbffa298249c641b8217c87dcad0dd4a817c46819042a4ddac8ff2,,,,,,,,,,,,
Jeffrey Davies,https://openalex.org/A2097307880,British Geological Survey,Nottingham,,United Kingdom,52.954765,-1.159083,https://openalex.org/A2102293603|https://openalex.org/A2425763826|https://openalex.org/A2042765772|https://openalex.org/A2686179568|https://openalex.org/A2438661239|https://openalex.org/A2095823119|https://openalex.org/A2319268176,aquifer|transboundary,,Corporate governance|Geology|Resource (disambiguation)|Biology|Business|Environmental planning|Finance|Environmental science|Computer security|Computer science|Population|Demography|Groundwater|Geotechnical engineering|Computer network|Water resources|Water resource management|Sociology|Environmental resource management|Hydrogeology|Ecology|Engineering|Vulnerability (computing)|Aquifer|Geography,"<a href='#' onClick='javascript:getPublication({oaids:""https://openalex.org/A2097307880"",search:""Keywords,Scope"",OAConcepts:""OA concepts""})'>Show publications</a>",2008|2013,US,7d282fdd512d756a52bf60d648a1c9001a963491789f9759a71abf0c31f70cd7,Nottingham -1.159083,,,,,,,,,,,
Jeffrey Stovall,https://openalex.org/A3023271808,Texas Tech University,Lubbock,Texas,United States,33.58869,-101.864204,https://openalex.org/A1754086808|https://openalex.org/A2269258989|https://openalex.org/A2078684041,aquifer|transboundary,,Agriculture|Grassroots|Resource (disambiguation)|Environmental engineering|Biology|Environmental planning|Archaeology|Environmental science|Computer science|Politics|Water use|Groundwater|Geotechnical engineering|Surface water|Computer network|Water resources|Water resource management|Law|Ecology|Engineering|Hydrology (agriculture)|Aquifer|Geography|Political science,"<a href='#' onClick='javascript:getPublication({oaids:""https://openalex.org/A3023271808"",search:""Keywords,Scope"",OAConcepts:""OA concepts""})'>Show publications</a>",2005,US,9dea3f3dcafe467b837a9306a410e1637a11cd19e49eff2f22795db9b6da8c5b,,,,,Lubbock,,,,,,,
Jelena KrstajiÄ,https://openalex.org/A4263858227,Unknown,,,,,,https://openalex.org/A4263858228|https://openalex.org/A4263858226|https://openalex.org/A4263858224|https://openalex.org/A4263858225,aquifer|transboundary,,Cartography|Drainage basin|Karst|Groundwater|Archaeology|Catchment area|Geology|Geotechnical engineering|Groundwater recharge|Hydrology (agriculture)|Aquifer|Environmental science|Geography|Water resource management,"<a href='#' onClick='javascript:getPublication({oaids:""https://openalex.org/A4263858227"",search:""Keywords,Scope"",OAConcepts:""OA concepts""})'>Show publications</a>",2016,US,,,,,,,,,,,,,
Jelena Loborec,https://openalex.org/A2431540055,University of Zagreb,Zagreb,Grad Zagreb,Croatia,45.810673,15.970097,https://openalex.org/A2780355894|https://openalex.org/A2738131907|https://openalex.org/A1173320144|https://openalex.org/A2702688617|https://openalex.org/A2736427961|https://openalex.org/A2152247172|https://openalex.org/A3207498335|https://openalex.org/A2072700567|https://openalex.org/A41508196,aquifer|transboundary,,Spring (device)|Carbonate rock|Geology|Outflow|Oceanography|Groundwater recharge|Geochemistry|Geomorphology|Cartography|Flysch|Clastic rock|Groundwater|Geotechnical engineering|Sedimentary rock|Structural basin|Mechanical engineering|Hydrogeology|Drainage basin|Engineering|Hydrology (agriculture)|Aquifer|Geography,"<a href='#' onClick='javascript:getPublication({oaids:""https://openalex.org/A2431540055"",search:""Keywords,Scope"",OAConcepts:""OA concepts""})'>Show publications</a>",2009,US,54bbd760b34bbe8a149964d20d78f40ed963703cc89b908c744d4723f453d3c5,,,,,Zagreb,,,,,,,
Jelena ÄorÄeviÄ,https://openalex.org/A2120660768,University of Belgrade,Belgrade,,Serbia,44.81844,20.457422,https://openalex.org/A2014918076|https://openalex.org/A2302451700|https://openalex.org/A2884510089|https://openalex.org/A1932685631|https://openalex.org/A2096683773|https://openalex.org/A2692445178|https://openalex.org/A2096465675|https://openalex.org/A1930121498|https://openalex.org/A2645318708|https://openalex.org/A2147140931|https://openalex.org/A2322553440,aquifer|transboundary,,Environmental protection|Water pollution|Karst|Groundwater|Archaeology|Regional science|Pollution|Groundwater pollution|Montenegro|Ecology|Geology|Geotechnical engineering|Hydrology (agriculture)|Aquifer|Biology|Environmental science|Geography|Water resource management,"<a href='#' onClick='javascript:getPublication({oaids:""https://openalex.org/A2120660768"",search:""Keywords,Scope"",OAConcepts:""OA concepts""})'>Show publications</a>",2019,US,ea643a7f35c108007c98f36e128b951066afc8561b2e2697907b62adc7237f65,,,,,Belgrade,,,,,,,
Jenny SjÃ¥stad Hagen,https://openalex.org/A3010742604,"Geophysical Institute, University of Bergen",,,,60.3836,5.3321,https://openalex.org/A2259232661|https://openalex.org/A3016716286,aquifer|transboundary,,Paleontology|Arid|Aquifer|Karst|Groundwater|Geology|Geotechnical engineering|Groundwater recharge|Depression-focused recharge|Hydrology (agriculture)|Remote sensing|Geographic information system|Environmental science|Water resource management,"<a href='#' onClick='javascript:getPublication({oaids:""https://openalex.org/A3010742604"",search:""Keywords,Scope"",OAConcepts:""OA concepts""})'>Show publications</a>",2020,US,4793702dfac0c14ca8898ac6fc95d8ed558a53fe974bf04cb462f6999edf1403,,,,,,,,,,,,
Jens Hartmann,https://openalex.org/A2193968246,UniversitÃ¤t Hamburg,Hamburg,,Germany,53.566944,9.983889,https://openalex.org/A2115363734|https://openalex.org/A2311002528|https://openalex.org/A2022777646|https://openalex.org/A271146531|https://openalex.org/A2248824626|https://openalex.org/A2688795030|https://openalex.org/A1968672544|https://openalex.org/A2710319207|https://openalex.org/A2110654652|https://openalex.org/A3007393738|https://openalex.org/A2061648226,aquifer|transboundary,,Paleontology|Cartography|Hydrogeology|Karst|Groundwater|Geology|Geotechnical engineering|Geologic map|Hydrology (agriculture)|Aquifer|Geomorphology|Geography,"<a href='#' onClick='javascript:getPublication({oaids:""https://openalex.org/A2193968246"",search:""Keywords,Scope"",OAConcepts:""OA concepts""})'>Show publications</a>",2017,US,99aa07db65563cd6c24f2979387821e2c0d6c4dfcd9604a7a262a25e04715aa0,,,,,Hamburg,,,,,,,
Jens Lange,https://openalex.org/A2988983531,University of Freiburg,Freiburg,Baden-WÃ¼rttemberg,Germany,47.99375,7.845918,https://openalex.org/A2129689750|https://openalex.org/A2809999050,aquifer|transboundary,,Water balance|Paleontology|Arid|Cartography|Wadi|Evapotranspiration|Groundwater|Ecology|Geology|Geotechnical engineering|Groundwater recharge|Depression-focused recharge|Hydrology (agriculture)|Aquifer|Biology|Environmental science|Geography,"<a href='#' onClick='javascript:getPublication({oaids:""https://openalex.org/A2988983531"",search:""Keywords,Scope"",OAConcepts:""OA concepts""})'>Show publications</a>",2018,US,ef180255dba7e25a79cf305d809575d2f86e76cd0181267f09751c05b3fc838e,,,,,,,,,,,,
Jens MÃ¶dinger,https://openalex.org/A2737283544,Unknown,,,,,,https://openalex.org/A2500755573,aquifer|transboundary,,Environmental resource management|Agriculture|Groundwater|Archaeology|Environmental planning|Groundwater pollution|Engineering|Sustainable management|Ecology|Geotechnical engineering|Aquifer|Biology|Environmental science|Sustainability|Geography|Water resource management,"<a href='#' onClick='javascript:getPublication({oaids:""https://openalex.org/A2737283544"",search:""Keywords,Scope"",OAConcepts:""OA concepts""})'>Show publications</a>",2005,US,4a5e3c3fd918c19a6e26abf7fd1884f93a7886523a3e854d0c57c6c4a27908fc,,,,,,,,,,,,
Jessica R. Daniel,https://openalex.org/A2578960432,University of Idaho,Moscow,Idaho,United States,46.726,-117.011,https://openalex.org/A2524640187|https://openalex.org/A2112560965,aquifer|transboundary,,Agency (philosophy)|Environmental resource management|Sociology|Corporate governance|Politics|Environmental governance|Law|Business|Environmental planning|Economics|Social science|Finance|Collaborative governance|Geography|Political science,"<a href='#' onClick='javascript:getPublication({oaids:""https://openalex.org/A2578960432"",search:""Keywords,Scope"",OAConcepts:""OA concepts""})'>Show publications</a>",2013,US,c054847b2d1c862b374e4ca639fe846f79b91c4842af714f6d402701d9c09c09,,,,,Moscow,,,,,,,
Jevv Bennett,https://openalex.org/A2186122153,Unknown,,,,,,https://openalex.org/A2181315684|https://openalex.org/A2185915757|https://openalex.org/A2645883975,aquifer,,Spring (device)|Geology|Canyon|Water quality|Biology|Meteorology|Groundwater recharge|Cretaceous|Environmental science|Geomorphology|Paleontology|Cartography|Groundwater|Tributary|Geotechnical engineering|Plume|Mechanical engineering|Ecology|Engineering|Hydrology (agriculture)|Aquifer|Geography,"<a href='#' onClick='javascript:getPublication({oaids:""https://openalex.org/A2186122153"",search:""Keywords,Scope"",OAConcepts:""OA concepts""})'>Show publications</a>",2010,US,c492cc4d03d0198a695167bf4f6f2366e46df31256f5c7ba905f1a9829ce7b68,,,,,,,,,,,,
Jillian M. Deines,https://openalex.org/A2336995420,Stanford University,Stanford,California,United States,37.43,-122.17,https://openalex.org/A2114913635|https://openalex.org/A1427594450,aquifer|transboundary,,Groundwater resources|Cartography|Drainage basin|Streamflow|Groundwater|Ecology|Geology|Geotechnical engineering|Hydrology (agriculture)|Aquifer|Biology|Environmental science|Water resources|Geography|Water resource management,"<a href='#' onClick='javascript:getPublication({oaids:""https://openalex.org/A2336995420"",search:""Keywords,Scope"",OAConcepts:""OA concepts""})'>Show publications</a>",2015,US,1fe14a54cfef336612d6305ab90bc9f6f984914a478a81c7dbeaf7b86abaaf91,,,,Stanford,,,,,,,,
Jing He,https://openalex.org/A3108477157,Unknown,,,,,,https://openalex.org/A3110240032|https://openalex.org/A3110092903|https://openalex.org/A3107993997|https://openalex.org/A3108553922|https://openalex.org/A3110275357|https://openalex.org/A3107877310|https://openalex.org/A3110159011,aquifer|transboundary,,Geology|Resource (disambiguation)|Business|Environmental planning|Sustainable development|Mathematical analysis|Environmental science|Computer science|Mathematics|Groundwater|Geotechnical engineering|Computer network|Water resource management|Environmental resource management|Mechanical engineering|Law|Boundary (topology)|Work (physics)|Engineering|Aquifer|Geography|Political science,"<a href='#' onClick='javascript:getPublication({oaids:""https://openalex.org/A3108477157"",search:""Keywords,Scope"",OAConcepts:""OA concepts""})'>Show publications</a>",2013,US,,,,,,,,,,,,,
Jochen Bundschuh,https://openalex.org/A1895111053,University of Southern Queensland,Toowoomba,Queensland,Australia,-27.6042,151.932,https://openalex.org/A2171934957|https://openalex.org/A2526505017|https://openalex.org/A2705603161|https://openalex.org/A2795574050|https://openalex.org/A2814641798|https://openalex.org/A2104182281|https://openalex.org/A2439970208|https://openalex.org/A2190248547|https://openalex.org/A2990966371|https://openalex.org/A2765481812,aquifer|transboundary,,Chemistry|Geology|Linguistics|Geophysics|Latin Americans|Earth science|Geothermal gradient|Geochemistry|Volcano|Environmental science|Arsenic|Groundwater|Geothermal energy|Arsenic contamination of groundwater|Geotechnical engineering|Organic chemistry|Environmental protection|Aquifer|Philosophy|Geography,"<a href='#' onClick='javascript:getPublication({oaids:""https://openalex.org/A1895111053"",search:""Keywords,Scope"",OAConcepts:""OA concepts""})'>Show publications</a>",2020,US,8f93a8866a0e5a1f92b072acbd929941a4b548b9c5270d24fab0064eabfadb22,,,,,,,,,,,,
Joerg Prestor,https://openalex.org/A757730361,Geological Survey Ljubljana,Ljubljana,,Slovenia,46.071095,14.515265,https://openalex.org/A2669614337|https://openalex.org/A1578832619|https://openalex.org/A2031512114|https://openalex.org/A2463868171|https://openalex.org/A1173320144|https://openalex.org/A2612752363|https://openalex.org/A2501942923|https://openalex.org/A718956586|https://openalex.org/A1249561938|https://openalex.org/A2069694107|https://openalex.org/A2113117945|https://openalex.org/A2663417597|https://openalex.org/A2714825477|https://openalex.org/A2473844080,aquifer|transboundary,,Water Framework Directive|Geology|Resource (disambiguation)|Environmental engineering|Water quality|Biology|Water supply|Geophysics|Artesian aquifer|MODFLOW|Geothermal gradient|Groundwater flow|Groundwater recharge|Environmental science|Geomorphology|Computer science|Groundwater|Geothermal energy|Geotechnical engineering|Computer network|Structural basin|Water resource management|Hydrogeology|Ecology|Hydrology (agriculture)|Aquifer,"<a href='#' onClick='javascript:getPublication({oaids:""https://openalex.org/A757730361"",search:""Keywords,Scope"",OAConcepts:""OA concepts""})'>Show publications</a>",2002|2012,US,6730ce21c4c58ea60479a2ad2a4b01507dd7e1a14197b3564b08f129ebb5bbcb,,,,,Ljubljana,,,,,,,
Johan Lermytte,https://openalex.org/A2271539064,Unknown,,,,,,https://openalex.org/A2267445113|https://openalex.org/A2676632560|https://openalex.org/A2262744134|https://openalex.org/A2615787786,aquifer|transboundary,,Mathematics|Flemish|Salt water|Groundwater|Archaeology|Geology|Geotechnical engineering|Mathematical analysis|Environmental engineering|Aquifer|Distribution (mathematics)|Environmental science|Geography|Water resource management,"<a href='#' onClick='javascript:getPublication({oaids:""https://openalex.org/A2271539064"",search:""Keywords,Scope"",OAConcepts:""OA concepts""})'>Show publications</a>",2012,US,403c5e334f2cc18f04802e9382590cf362277e49dada02bf4783fc820bca17f5,,,,,,,,,,,,
Johannes Reiche,https://openalex.org/A2070185547,Wageningen University & Research,Wageningen,,Netherlands,51.984753,5.665749,https://openalex.org/A2912112809|https://openalex.org/A2124903729|https://openalex.org/A699335812|https://openalex.org/A2913443495|https://openalex.org/A2140462498,aquifer|transboundary,,Cartography|Dry season|Groundwater|Pathology|Scale (ratio)|Geology|Ecology|Vegetation (pathology)|Geotechnical engineering|Hydrology (agriculture)|Water resources|Remote sensing|Aquifer|Biology|Environmental science|Medicine|Geography|Water resource management,"<a href='#' onClick='javascript:getPublication({oaids:""https://openalex.org/A2070185547"",search:""Keywords,Scope"",OAConcepts:""OA concepts""})'>Show publications</a>",2007,US,35c29cb3728fda97a0e7eb5c08f73951e70574394675128d47fc4dc5d91678d0,,,,Wageningen,,,,,,,,
